ComponentName,FaultProbability
org.apache.commons.math.geometry.euclidean.twoD.LineTest:testPointAt,0.05
org.apache.commons.math.distribution.NormalDistributionImpl:cummulativeProbability,0
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest:testBuildBox,0.02
org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:<init>,0.095
org.apache.commons.math.linear.RealVectorImplTest:mapLog1p,0
org.apache.commons.math3.util.TestBean:setY,0.309
org.apache.commons.math3.analysis.differentiation.DSCompiler:compileMultiplicationIndirection,0.038
org.apache.commons.math.optimization.general.AbstractScalarDifferentiableOptimizer:<init>,0
org.apache.commons.math3.exception.MathIllegalArgumentException:<init>,0.095
org.apache.commons.math.complex.AbstractComplexFormatTest:testParseSimpleWithDecimals,0
org.apache.commons.math.stat.StatUtilsTest:testVariance,0
org.apache.commons.math.ode.nonstiff.AbstractStepInterpolatorTest:requiresDenseOutput,0
org.apache.commons.math3.linear.BlockFieldMatrixTest:testSetColumnVector,0.02
org.apache.commons.math.optimization.fitting.HarmonicFitterTest:testUnsorted,0
org.apache.commons.math3.ode.TestProblem4:copy,0.309
org.apache.commons.math3.linear.DiagonalMatrix:getRowDimension,0.038
org.apache.commons.math.distribution.BinomialDistribution:calculateNumericalVariance,0
org.apache.commons.math.geometry.Vector3DFormatTest:getLocale,0
org.apache.commons.math3.util.PrecisionTest:testEqualsWithAllowedDelta,0.02
org.apache.commons.math.linear.RealVectorImpl:mapInv,0
org.spaceroots.mantissa.estimation.LevenbergMarquardtEstimatorTest:testMinpackBox3Dimensional,0
org.apache.commons.math3.random.RandomDataImpl:reSeed,0.06
org.apache.commons.math.util.ArithmeticsUtilsTest:testGcdLong,0
org.apache.commons.math.util.OpenIntToDoubleHashMap:hashOf,0
org.apache.commons.math.distribution.NormalDistributionTest:testMath280,0
org.apache.commons.math.linear.BlockRealMatrixTest:columnToVector,0
org.apache.commons.math.linear.BlockRealMatrix:<init>,0
