TestName,TestOutcomeName,TestOutcome
org.apache.commons.math3.transform.FastCosineTransformerTest:testTransformFunctionNotStrictlyPositiveNumberOfSamples[0],pass,1
org.apache.commons.math3.util.Decimal64Test:testAcosh,pass,1
org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest:testDimensionCheck,pass,1
org.apache.commons.math3.stat.descriptive.summary.SumSqTest:testCopy,pass,1
org.apache.commons.math3.analysis.solvers.LaguerreSolverTest:testQuinticFunction,pass,1
org.apache.commons.math3.random.ISAACTest:testNextIntPositiveRange,pass,1
org.apache.commons.math3.util.FastMathTest:testCosAccuracy,pass,1
org.apache.commons.math3.stat.inference.WilcoxonSignedRankTestTest:testWilcoxonSignedRankSimple,pass,1
org.apache.commons.math3.linear.SparseFieldMatrixTest:testDimensions,pass,1
org.apache.commons.math3.ode.nonstiff.ThreeEighthesIntegratorTest:testBigStep,pass,1
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testLinearCombinationDaFa,pass,1
org.apache.commons.math3.distribution.FDistributionTest:testConsistency,pass,1
org.apache.commons.math3.linear.FrenchRealVectorFormatTest:tesNegativeInfinity,pass,1
org.apache.commons.math3.optimization.direct.BOBYQAOptimizerTest:testProblemDimensionTooSmall,pass,1
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest:testDoubleRotations,pass,1
org.apache.commons.math3.dfp.DfpTest:testLinearCombinationFaFa,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest:testElliRotated,failure,0
org.apache.commons.math3.optim.univariate.BracketFinderTest:testCubicMin,pass,1
org.apache.commons.math3.stat.inference.TestUtilsTest:testChiSquareIndependence,pass,1
org.apache.commons.math3.random.BitsStreamGeneratorTest:testNextSecureIntNegativeRange,pass,1
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testSubtractDouble,pass,1
org.apache.commons.math3.linear.Array2DRowRealMatrixTest:testGetColumn,pass,1
org.apache.commons.math3.fraction.FractionFormatTest:testParseNegative,pass,1
org.apache.commons.math3.linear.QRDecompositionTest:testAEqualQR,pass,1
